Sample,16S_dist,ITS_dist
A23,0.897009967,0.4836
E10,0.924916944,0.3514
E12,0.972259136,0.5416
E17,0.960465116,0.5856
E19,0.948172757,0.415
E22,NA,0.6238
E26,0.962624585,0.4314
E28,0.930398671,0.441
E29,0.969933555,0.4076
E33,0.911295681,0.4244
E37,0.929069767,0.4574
A24,0.913289037,0.6094
E38,0.940199336,0.6816
A25,0.940531561,0.5596
G11,0.93654485,0.3828
G12,0.942857143,0.4764
G13,0.940199336,0.5264
G17,NA,0.3662
G18,0.936877076,0.4436
G20,0.956976744,0.4218
G25,0.915116279,0.4576
A26,0.929069767,0.3158
G26,0.934717608,0.3076
G27,0.947840532,0.5384
G34,0.934053156,0.39
G36,0.962790698,0.4584
G37,0.983056478,0.4978
H09,0.96179402,0.5992
H11,0.91627907,0.5266
H14,0.936046512,0.5194
H17,0.943853821,0.5154
H18,0.975083056,0.5092
A28,0.948671096,0.5316
H20,0.950830565,0.551
H25,0.916777409,0.3378
H28,0.924750831,0.5326
H29,0.922093023,0.4668
H33,0.925415282,0.5874
H34,0.949833887,0.3716
H37,0.932392027,0.415
I09,0.946345515,0.3424
I11,0.954318937,0.3334
I13,0.941528239,0.49
A09,0.956312292,0.4972
A34,0.938372093,0.5918
I17,0.949335548,0.3788
I18,0.952159468,0.3482
I20,0.953820598,0.4386
I26,0.974584718,0.3054
I28,0.958305648,0.5734
I29,0.977242525,0.3558
I33,0.944684385,0.4076
I35,0.949501661,0.3458
I38,0.932890365,0.4974
J10,0.931893688,0.3468
A37,0.920598007,0.4444
J11,0.994850498,0.6096
J14,0.997009967,0.5242
J17,0.955813953,0.354
J22,0.949667774,0.3182
J23,0.964950166,0.4406
J26,0.979900332,0.6462
J27,0.973255814,0.4202
J28,NA,0.4624
J33,0.96627907,0.511
J34,0.975083056,0.7192
A38,0.932059801,0.4198
J36,NA,0.6924
K09,0.986877076,0.6882
K10,NA,0.2628
K11,0.980730897,0.4816
K17,NA,0.597
K18,NA,0.73
K19,NA,0.4286
K25,0.956976744,0.5612
K26,NA,0.4012
K28,NA,0.3688
B09,0.927906977,0.5042
K33,0.970099668,0.464
K35,0.968438538,0.425
K36,0.965282392,0.5994
B11,0.970598007,0.5574
B14,0.972259136,0.5816
B18,0.924086379,0.4682
B19,0.918106312,0.399
B23,0.897674419,0.419
B25,0.934551495,0.9002
A10,0.864451827,0.5068
B26,0.97358804,0.6642
B28,0.951993355,0.6298
B33,0.920265781,0.456
B35,0.929900332,0.5158
B37,0.897840532,0.326
C09,0.941528239,0.4798
C11,0.965282392,
C13,0.953156146,0.5566
C17,0.941196013,0.297
C18,0.917607973,0.343
A11,0.956976744,0.4612
C19,0.952325581,0.3848
C25,0.921096346,0.4824
C27,0.908305648,0.5196
C28,0.938372093,0.4824
C33,0.924750831,0.381
C34,0.904318937,0.483
C37,0.914451827,0.342
D09,0.975415282,0.5632
D10,0.984053156,0.8442
D13,0.967275748,0.4722
A17,0.95,0.4486
D17,0.924086379,0.512
D19,0.938870432,0.4006
D20,0.931561462,0.6484
D25,0.859302326,0.3208
D26,0.924086379,0.4184
D28,0.907973422,0.5918
D34,0.921760797,0.5434
D35,0.907807309,0.6148
D36,0.907475083,0.4878
E09,0.919767442,0.372
